texto,classificacao
"Você só pode convocar... Por isso que a convocação está equivocada desde o começo. Você precisa, primeiro, ter tudo na mão. Por isso que tem uma outra coisa, Senador Marcos Rogério, que V. Exa. conhece muito bem. É preciso ter compartilhamento. A CPI precisa oficiar ao Supremo Tribunal Federal, que sempre entregou as investigações que tinham. O Ministério da Justiça precisa entregar o que tem para que você possa convocar alguém. Veja só, Senadora Laura, um dos momentos mais importantes... Toda vez eu lhe chamo de Senadora, porque você tem pinta de Senadora. Senadora Laura, os meninos até brincam, essa rapaziada nova aqui de primeiro mandato, que eu falo em CPI do Narcotráfico e eles acham que já está muito distante, é meio Jurassic Park. Nós convocamos, não, convidamos o Ministro da Justiça Renan Calheiros para ir à CPI do Narcotráfico. E ele foi. A Deputada Jandira estava lá, naquela ocasião, quando foi a prisão de Hildebrando Pascoal. Foi o Ministério da Justiça que entregou os 12 CPFs que o cara tinha, de todos os problemas que existiam no Acre. O Acre, aliás, deve um busto para nós, não é? Porque nós fomos lá fazer.       09:48   R   Então, veja, é preciso realmente que se quebre sigilo e depois se convoque, com as pessoas-chave. Aí, concordo com o Senador Marco Rogério: não dá para fazer uma quebra coletiva, agora, do indivíduo que já esteve aqui, que a gente sabe que tem envolvimento, poderia ter-se quebrado o sigilo primeiro e, depois, traria... Só que essas pessoas já têm muitas informações no Ministério da Justiça. E aqui eu peço, Sr. Presidente, à Presidente do Supremo Tribunal Federal, Rosa Weber - é ela ainda, não é? -, e ao Ministro Alexandre de Moraes, que é dono desse estômago de elefante em que cabe tudo dentro, que é o inquérito da fake news, para que cedam as informações que já existem, até porque as pessoas todas já foram investigadas, os crimes já foram tipificados, até aqueles que estão ainda na Colmeia e na Papuda. E fiz um apelo hoje à nossa Relatora e a alguns Senadores para que todos possam ser ouvidos. Concordo, na verdade, com essa cooperação. E, com essa cooperação, as pessoas que já foram ouvidas aqui e que mentiram, como é o caso do último aí...",0
"Não, o da bomba lá.",0
"Se esse sigilo tivesse sido compartilhado, teria sido absolutamente diferente também o do Lawand. Teria sido absolutamente diferente porque nós teríamos elementos. Então, quando o cara mente, você prova a ele com o elemento na mão. Agora, você ouve o cara, ele vai embora, e depois é que você vai quebrar o sigilo dele? Eu concordo plenamente com isso e concordo que nós devemos tomar uma decisão aqui: que o indivíduo a ser votado para ser ouvido aqui, que nós já tenhamos todos os elementos dele na mão, com todos os sigilos quebrados, aqueles que nós entendemos que fazem parte... Tanto aqueles que operaram, assim, de uma forma atabalhoada, sabe? E participaram, quebraram, zonearam... E deve pagar quem fez isso e quem também se omitiu ou correu ou deixou ocorrer; todas essas pessoas! Para tanto, Sr. Presidente, eu acho que a fala de todos... A partir dessa conversa que nós tivemos aqui, essa fala de todos aqui corrobora para que a gente comece a andar agora de forma definitiva como e enquanto CPI. Mas, mais uma vez, peço que o Supremo Tribunal Federal e que o Ministério da Justiça façam conosco essa cooperação. Não há qualquer investigação sem Polícia Federal. A Polícia Federal tem em andamento investigações que podem mandar a V. Exa., à relatoria, à Presidência, para que nós tenhamos elementos para ouvir o indivíduo sentado aqui com os elementos já de prova na mão, para que nós possamos, na verdade, responder à sociedade aquilo que à sociedade se precisa responder. Encerro aqui fazendo mais um apelo: precisamos ouvir todos os envolvidos. Falei com o Senador Randolfe aqui - que não é mais Harry Potter, agora é He-Man, porque ele manda muito; manda muito, é He-Man -, pedi a He-Man que me ajudasse a fazer duas Subcomissões, para que a gente possa ouvir o pessoal da Papuda e da Colmeia.",0
"Muito obrigado, Sr. Presidente. Toda proposta de acordo é salutar. Só temos que aparar algumas arestas para que o acordo seja realmente efetivo para o desenvolvimento dos trabalhos. Eu concordo, deve haver as quebras de sigilo, mas com as parcimônias devidas, para não haver a generalidade de uma intromissão, de uma invasão na privacidade sem qualquer sentido. Se há uma necessidade, quanto ao Policial Rodoviário Federal Vasques, Silvinei Vasques, de uma quebra de sigilo, que se faça. Agora, eu indago à Comissão, à Presidência e à Relatora que...       09:52   R   Por favor, por favor. O PRF Vasques enviou a esta Comissão, nesta semana ou na semana passada, cerca de 300 páginas de documentos produzidos pela própria PRF. Esses documentos foram analisados para se perquirir, logo em seguida, uma quebra de sigilo? Eu acredito que não. Essa deve ser uma medida última nesse sentido. Que seja feita. Agora, como foi destacado aqui, por que adentrar a família inteira do Coronel Cid, que nem foi ouvido ainda. Eu acho, eu acredito que esse seja um grande exagero. Que se faça a quebra de sigilo do Coronel. Pode ser possível, está como investigado, mas não numa família. Tu entendes esse pedido?",0
"Ah, que maravilha! Então, pronto! Então, não tem.",0
"Um momento, um momento.",0
Um momento.,0
"Então, todos esses requerimentos tiveram razão de ser colocados porque já havia, na pauta, dois requerimentos de oitiva do fotógrafo da Reuters e do major do Exército Brasileiro, que trabalhava no GSI. Esse, inclusive, é requerimento do Governo. Eu quero saber se, num acordo, serão aprovados esses dois requerimentos nossos. Mais outra questão que eu coloco aqui, bem clara: todas essas pessoas que estão tendo quebra de sigilo e investigação, não foi comprovada ou demonstrada qualquer lógica de vinculação com o 8 de janeiro, ou seja, o fato determinado desta CPMI ainda não foi atingido. Nós estamos chegando, depois do recesso, a dois meses de CPMI e ainda não chegamos no trabalho do 8 de janeiro, que é o foco principal e total dessa CPMI. Nós, da Oposição, da Minoria, só tivemos aprovado o requerimento do General Gonçalves Dias e do Oficial de Inteligência Saulo. Até o momento, nós não sabemos quando eles estarão aqui, nesta CPMI. Por favor, Sr. Presidente, foram colocados no acordo, num possível acordo, a possibilidade de se delegar uma subcomissão que fará essa pauta de oitivas e de diligências. Seria, portanto, de seis Parlamentares. Eu quero lembrar que o foco principal é o 8 de janeiro, que esse é um instrumento da Minoria, que a Minoria não está sendo atendida, que o requerimento de instauração da CPMI foi acerca da responsabilidade dos vândalos, responsabilidade pelas omissões e arbitrariedades judiciais. Então, eu gostaria de saber como seria desenvolvida essa escolha de seis Parlamentares, e que não seja com voto de maioria, que seja até por uma proporção, que os requerimentos da Oposição, da Minoria sejam atendidos, sejam colocados em pauta para serem ouvidos e as diligências cumpridas até o final desta CPMI.",0
"Presidente, vou ser breve, bem porque concordo com a linha geral que foi colocada, concordo hoje até com o Senador Magno Malta.",1
Vixe! É mesmo?,0
"E acho que realmente... Eu também fui... Nós temos algo em comum: eu fui Relator de Comissão Parlamentar de Inquérito, da CPI do Narcotráfico em Minas Gerais. Então, essa experiência tem que ser trazida também. E é claro que a gente só descobre as coisas em relação àqueles que estão por dentro daquele assunto. Muitas vezes na CPI do Narcotráfico, eles nos acusavam de estar escutando bandidos. Mas é óbvio: o tráfico era feito por bandido, eram eles os que sabiam as coisas. E, na questão relativa aos culpados, nós temos que escutar esses que estão sendo indiciados, esses que estão realmente sendo investigados. E não há como investigá-los se nós não tivermos acesso aos telefones e, em alguns casos, à questão dos bancos. Então, solicitar esses dados é fundamental. Se a gente não aprova aqui esses documentos, nós não vamos investigar. Muitas vezes quem fala não é o depoente: é o telefone dele, de que foi quebrado o sigilo, que fala pela gente.       10:00   R   Nós estamos vendo agora o George Washington, porque saiu aí, pela Polícia Civil, o que estava no telefone do George Washington. E tinha muita coisa que aqui ele mentiu, inclusive ele disse que a bomba, por exemplo, não era para o caminhão, que ele estava falando que ia colocar bombas nas redes elétricas. Quem leu o relatório dele, que é público agora, que foi enviado pela CPMI, quem lê o relatório vê que ele mentiu claramente. Ele falava claro que estava lá para ele colocar a bomba no caminhão, pra estourar a bomba no caminhão. Então, vejam bem, é óbvio que, se isso estivesse conosco já, essa quebra, nós teríamos tido outro tipo de... Por isso, eu acho que nós precisamos de olhar as quebras de sigilo não apenas dos que já falaram, mas daqueles que são investigados, que nós concordamos que têm que ser vistas na investigação. Concordo que não é para fazer aqui perseguição, então não é para pegar familiares de todos, etc. Não. Mas tem familiares que também estão envolvidos, que precisam ser ouvidos; não podem também deixar de ser ouvidos só porque são familiares. Então, no caso, por exemplo, do Mauro Cid, eu não propus quebra de sigilo da esposa, nem estou pretendendo pedir isso, mas ouvi-la é necessário não porque ela é esposa do Mauro Cid - acho que ela vai ter que ser ouvida aqui, eu tenho um requerimento; não vai ser votado hoje pelo acordo que nós estamos fazendo -, mas, é óbvio, ela fez uma série de ligações no telefone dela, o que também já é público, em que ela própria falava pelo golpe. Então é outra coisa, é porque ela militou por aquilo e não por ser esposa. Então nós temos que separar realmente o joio do trigo. Por fim, eu queria apenas polemizar com o Senador Izalci, porque eu também acho que tudo isso poderia ser evitado. Por exemplo, se o ex-Presidente Bolsonaro tivesse passado a faixa pro Presidente Lula, não tivesse feito reunião com embaixadores, nós teríamos resolvido. Então é claro que essa linha de investigação, por isso que eu quis dizer isso, é uma linha de investigação que não é apenas o 8 de janeiro; por isso nós estamos escutando o Mauro Cid, ela é um processo. Houve uma tentativa de golpe no Brasil. Então eu proporia, Presidente, pra terminar mesmo, que nós fizéssemos as quebras de sigilo. Não tem problema que a gente veja individualmente, mas que não fique restrito a que sejam apenas os que foram ouvidos; aqueles que são investigados, que estão denunciados, que nós acharmos que é justo, também têm que ser apreciados anteriormente a serem ouvidos.",1
Presidente...,1
"Bom dia! Bom dia a todas as colegas, a todos os colegas, e à imprensa, que nos acompanha. Presidente, eu quero corroborar aqui com as palavras de V. Exa. Aqui nós temos um instrumento de investigação dentro do campo político, Deputado Carlos Sampaio. E aqui a condução dos acordos políticos facilita a investigação, como muito bem disse o nosso Senador Magno Malta. Agora, é claro, o objetivo de alguns aqui é no sentido de não dar os instrumentos necessários para que a gente consiga fazer a investigação de maneira límpida. O que nós queremos aqui são as informações para que a gente possa fazer a elaboração de um relatório que colabore com o esclarecimento dos fatos. Quando você quebra o sigilo de alguém que tem indício de envolvimento grave, você consegue ter, a partir disso, provas objetivas e não subjetivas, para que possa ser feita a investigação e a punição, caso assim a Justiça entenda por correto, já que aqui nós temos a elaboração apenas de um inquérito. A Senadora Eliziane Gama, a nossa Relatora, teve um cuidado muito especial em relação aos pedidos aqui apresentados. E é bom deixar claro que não há qualquer tipo de perseguição no sentido das quebras de sigilos dos envolvidos que estão sendo requeridas.       10:08   R   Presidente, só peço um pouquinho de silêncio porque é importante essa... (Soa a campainha.)",1
"Obrigado, Presidente. Essas informações são de suma importância para dar uma linha investigatória aqui dentro da CPI. Por que é que há o pedido de quebra de sigilo de algumas pessoas ligadas familiarmente a alguns dos investigados? Porque há indícios claros de cometimento de crimes e o envolvimento nos atos que acabaram culminando no dia 8, que são gravíssimos! Tentativa de golpe, participação financeira... Porque existem dos atores que participaram dessa patifaria que aconteceu no nosso país vários tipos de envolvimentos diferentes: uns tinham interesse no golpe para a tomada do poder; outros tinham interesse financeiro, como nós pudemos observar, lucrando com o acontecimento dos fatos; outros tinham negociações e situações que nós precisamos ainda entender. Quem participou da quebradeira no dia 8 já é de conhecimento, mas como é que a Polícia Federal, o Ministério Público Federal e o Supremo Tribunal Federal chegaram a essas pessoas? Através da quebra de sigilo, através das informações que deram subsídio às investigações feitas pelos órgãos competentes, e nós também precisamos desses instrumentos ou nós vamos fazer puramente o debate político aqui, o que não é o objetivo. A CPMI tem condições de fazer descobertas importantes, já há cometimento de crime quando vêm aqui os investigados mentir dentro desta CPI, isso é crime previsto no Código Penal, e a gente precisa neste momento aqui das informações específicas. Por isso eu quero parabenizar o Presidente Arthur. A condução feita dos trabalhos aqui precisa ter esse equilíbrio no sentido de construir esses acordos. Agora, para aqueles, independentemente de posicionamento ideológico aqui, que querem descobrir o que aconteceu de fato, é preciso ter o comprometimento que seja colaborado com provas, porque aqui não está sendo feita inquisição de pessoas, não se está prendendo pessoas aqui para obrigá-las a falar nada, não estão aqui sendo feitas negociatas às escuras, combinado, investigação com o acusado. O que nós estamos fazendo aqui, de maneira transparente, é buscar informações para que a gente tenha subsídio e possa montar um relatório digno, com a verdade, com a transparência e que possa trazer informações que colaborem com as investigações que são muito importantes para o nosso país. Muito importantes para que isso não fique no esquecimento e para que se demonstre que aqui as instituições têm muito mais força do que vontades individuais e pessoais das pessoas. Obrigado, Presidente.",1
"Pela ordem, Presidente. Presidente, só pela ordem, só pela ordem...",0
"Não é de minuto, de tempo não. Eu só quero que o senhor apresente o contador de tempo da fala de cada um.",0
Está falando deliberadamente sem contagem.,0
"Sr. Presidente, bom dia. É Pastor Henrique Vieira.",1
"Tudo bem, tranquilo. Senadora Eliziane... Aliás, queria pedir ao Sr. Presidente só para recompor o tempo. Nem consegui começar por conta do barulho. Obrigado.       10:12   R   Bem, a minha questão de ordem é baseada no art. 151 do Regimento Comum do Congresso e no art. 148 do Senado e tem pertinência com o que está sendo debatido aqui até agora. Veja bem, Senadora Eliziane: no dia 22 de junho, nós entramos aqui com uma questão de ordem relacionada ao ex-Diretor da PRF, Silvinei Vasques, porque nós entendemos que ele mentiu a esta CPMI sobre abordagens, operações e fiscalizações no dia 30 de outubro, dia do segundo turno. Naquele momento, a Senadora acatou o nosso pedido de notícia-crime, lembrando que a configuração ou a caracterização da mentira tinha como base a resposta do Ministério da Justiça a um requerimento de informação feito pela Deputada Sâmia Bomfim, no ano passado, ou seja, uma diferença entre o que o Silvinei falou e o que o Ministério da Justiça nos informou. Mas atenção: naquele dia 22 de junho, também foi acatado para nós enviarmos um.... (Intervenção fora do microfone.)",1
"Vou pedir silêncio, Sr. Presidente, senão não consigo desenvolver o raciocínio. (Soa a campainha.)",1
"Então, veja: nós enviamos, como CPMI, um ofício ao Silvinei e ele nos enviou - atenção a isto - as fontes para os dados que ele apresentou. E daí, dialogando com o Delegado Ramagem, nossa equipe estudou o documento oficial que Silvinei enviou a esta CPMI. E, com muita tranquilidade, fruto de estudo detalhado, eu quero afirmar que ele mentiu a esta CPMI. E agora a base não é só o documento do Ministério da Justiça, que já era importante; é o documento que ele mesmo enviou a esta CPMI: o número de fiscalizações na Região Nordeste foi o dobro da Região Sudeste, no dia 30 de outubro. E eu estou me baseando no documento que ele mesmo enviou a esta CPMI. Portanto, para concluir, o que eu queria solicitar - vou ler formalmente e entregar à Senadora: sendo assim, gostaríamos de apresentar à eminente Relatora uma minuta de notícia-crime, que poderá auxiliar os trabalhos desta Secretaria...",1
"É o tempo, Sr. Presidente.",0
Calma aí. Ser interrompido não ajuda a minha fala.,1
"Mas é o tempo, Sr. Presidente. O tempo, Sr. Presidente. São três minutos inteiriços mais o aditivo de tempo...",0
"São 30 segundos, Presidente.",1
"Eu fui atrapalhado, Sr. Presidente.",1
"Sr. Presidente, a minha fala foi a única do bloco inteiro a ser cortada.",1
Eu fui interrompido o tempo inteiro!,1
O senhor está sendo injusto!,1
"Não, Presidente. Não, não, não.",1
Eu fiz uma questão de ordem baseada no Regimento.,1
Vou concluir.,1
"Eu vou entregar à Senadora a prova de que Silvinei Vasques mentiu, com base no documento que ele mesmo enviou. Além disso, solicito a aprovação do Requerimento 1.045, que é a quebra de sigilo telemático, telefônico e bancário. Silvinei Vasques mentiu a esta CPMI e ele precisa ser responsabilizado por isso, de acordo com a legislação do processo penal. Ele é peixe grande e não pode passar pano em cima dele.       10:16   R",1
Quem mentiu foi o Ministro da Justiça.,0
"Sr. Presidente, eu queria, primeiro, colocar...",0
"Obrigado, Senadora.",1
"Eu também subscrevo, Presidente.",1
"Sr. Presidente, Deputado Duarte também. Subscrevo o pedido.",1
"Eu também subscrevo, Presidente. Deputada Erika Hilton.",1
Deputado Aliel Machado também subscreve.,1
Deputado Rogério Correia.,1
Deputada Duda Salabert também subscreve.,1
"Muito obrigado, Sr. Presidente, eu queria só pedir à assessoria, se puder, aqui, para eu olhar para o Presidente, por favor. Por favor. Sr. Presidente, nesse acordo que está sendo construído, eu queria deixar claro para o senhor que, mais uma vez, as imagens tão esperadas pela população brasileira, para entender o que aconteceu no dia 8, por que é que a Força de Segurança Nacional... Onde é que estava a Força de Segurança Nacional, que foi chamada pelo Ministro Flávio Dino? As imagens do Ministério da Justiça, novamente, não estão na pauta. Eu achava que estivessem. Eu queria fazer esse pedido de inclusão, na pauta, dessas imagens do Ministério da Justiça e também fazer uma solicitação ao senhor, para que não retire o fotógrafo da Reuters, porque aquela encenação que aconteceu ficou escandalosa perante a população brasileira, nas imagens vazadas da CNN. Uma encenação: ""Espera aí. Quebra desse jeito. Não, agora quebra assim, com esse ângulo"". É brincadeira! (Soa a campainha.)",0
"Sr. Presidente, aproveitando este tempo, está acontecendo uma onda de fake news, de ilações, com relação ao meu nome, e isso é inadmissível! Eu já sabia, quando cheguei aqui no Congresso, que tem certos partidos e alguns Parlamentares que jogam baixo, cujo objetivo é assassinar reputação. Agora, quem conhece a nossa história sabe do trabalho que a gente tem feito e a rede social... Em primeiro lugar, o número que saiu, em documentos que estão sendo divulgados em relação ao meu nome, com um suposto contato com o terrorista George Washington, não é o meu número. (Soa a campainha.)",0
"O meu DDD é 85 ou 61. São os dois únicos números que eu tive na minha vida. Estão colocando um DDD de Recife que nada tem a ver comigo. O segundo o aspecto: eu tenho redes sociais que somam quase 1 milhão de pessoas seguindo. Mensagens - eu não tenho como acompanhar todas as mensagens! E essa mensagem, segundo o próprio delegado falou aqui, não foi respondida, e foi enviada a Parlamentares. Então, é brincadeira - Parlamentares aqui desta Casa, onde a regra da boa convivência é o respeito - fazer esse tipo de ilação! E todo mundo que conhece o meu trabalho aqui sabe, principalmente os Senadores, que, sobre essa questão de CACs, por exemplo, eu sempre fui contra a flexibilização de porte de arma, sempre lutei contra, aqui dentro do Senado, discordando do Governo anterior! Então, é um absurdo esse tipo de colocação feita e eu vou processar a todos - todos - os que fizeram esse tipo de ilação! Muito obrigado, Sr. Presidente.       10:20   R",0
O 41 também?,0
Sr. Presidente...,1
É só para concluir o encaminhamento e acrescentar o Requerimento 1.045...,1
... do Sr. Silvinei Vasques.,1
Presidente...,0
Sr. Presidente...,0
"Sr. Presidente, se pudesse haver um tempo para que nós pudéssemos apenas analisar do que se trata...",0
Mas quais são os consensuais? Me desculpe.,0
Eu não sei quais são.,0
Presidente...,0
"Eu não sei com quem foi tratado o assunto, porque eu não fui procurado, e sou titular, por exemplo. Consensual de que maneira? Eu não sei o que estou votando.",0
"Eu não estava presente, mas, se V. Exa. está dizendo que houve um acordo entre a oposição e a base, eu retiro aqui a minha fala. Confio em V. Exa.",0
Sr. Presidente...,0
"Sr. Presidente, em relação a esse último pedido, embora seja uma quebra relativa, nós temos alguns pedidos que são pedidos talvez um pouco atípicos, com que nós deveríamos ter a cautela de pelo menos saber qual a relação desses investigados ou desses pedidos com o objeto da CPI, com o que nós estamos investigando aqui. Por exemplo, estão pedindo transferência de sigilo de todos os ajudantes de ordens da Presidência, e-mails, mensagens. Sr. Presidente, ali tem temas, assuntos que não dizem respeito a esta CPI. Agora, se há motivação, se há justa causa para se fazer a transferência desses dados para a CPI, mediante motivação, fundamentação, o.k. Mas aqui não há nenhum elemento que demonstre isso. É o caso aqui do Daniel Lopes, Luis Marcos Reis, Adriano Alves Teperino e outros mais. Com relação à quebra de sigilo daqueles que já foram ouvidos aqui, eu acho que nós temos que votar um a um, não há nenhum problema para a gente votar. Eu acho que quebra de sigilo não se vota em varejo. Agora, com relação a quem atuava na Presidência da República, solicitar transferência genérica de dados para esta CPI me parece colocar em risco, inclusive, elementos de segurança nacional, o que não é o caso. Eu questionei aqui agora há pouco a assessoria, respeitosamente: qual é o elemento indutor para esses requerimentos? O que há de elemento a justificar isso aqui? E um dos argumentos que me foi passado aqui, Sr. Presidente, com todo respeito: nós não estamos aqui para investigar o uso de cartão corporativo do Presidente da República. Esse não é o papel dessa CPI. Com todo respeito. Nós não vamos fazer pesca... Eu acho que isso aqui não é o papel da CPI, Presidente. Se alguém faz por aí, não é o papel da CPI. Se quer investigar cartão corporativo... (Soa a campainha.)",0
"... de Presidente Bolsonaro, de Presidente Lula, de Dilma e de outros, abra uma CPI específica e vá investigar. Agora, não é objeto desta CPI. Eu estou alertando, porque esse é um conteúdo que está no âmbito desses requerimentos.       10:28   R",0
"Sr. Presidente... Sr. Presidente, Deputado André Fernandes.",0
"Vamos votar, Presidente.",1
Presidente... Presidente... E o 1.045?,1
"Presidente, e a pauta?",0
Vamos para a oitiva.,1
"Presidente Arthur, pra perguntar: foi aprovado com o 1.045 ou sem?",0
"Mas esse não era o acordo, Sr. Presidente.",0
"Presidente, os requerimentos da pauta também estão aprovados?       10:32   R",0
"Sr. Presidente, apenas para um pequeno comentário. Nas outras oitivas, V. Exa. determinou que as testemunhas não fossem aqui coagidas nem xingadas, nem maltratadas. Eu gostaria de saber se isso prevalece para hoje também, para que não seja chamado de bandido, de ladrão, disso ou daquilo, porque são patentes do Exército Nacional. As outras pessoas que já passaram por aqui foram humilhadas aqui nesta Comissão. Então, eu gostaria de pedir ao senhor que V. Exa. garantisse a integridade moral dessas pessoas que aqui estivessem.",0
"Pela ordem, Sr. Presidente.",0
"Sr. Presidente, são inúmeros os ataques e as acusações em relação ao Mauro Cid. Não é possível que ele esteja na condição de testemunha. Ele é investigado desta CPMI. Tratá-lo como testemunha é não tratar como ele tem sido tratado pelo fato na própria CPMI. Então, ele tem o direito de permanecer calado, como qualquer outro investigado tem o direito de permanecer calado. A gente tem que dar o respeito e a ordem a ele, conforme ele tem sido tratado em todos os atos das oitivas anteriores. Então, assim, tratá-lo como testemunha vai prejudicar o próprio Mauro Cid ter o direito dele preservado.",0
"Eu concordo. Eu concordo, Sr. Presidente.",0
"Questão de ordem, Sr. Presidente!",0
