fala,situacao
"Sr. Presidente, Deputado Arthur, Srs. Senadores, Senadoras, Deputadas, Deputados, eu quero pegar a fala de todo mundo. Acho que todas as falas, numa somatória, têm um sentido muito forte. Sei que a Senadora Jandira discorda de quase 99% do que eu penso e eu também, mas nisso sou obrigado... Nós concordamos em alguma coisa. Uma CPI só chega a algum lugar se ela tiver quebra de sigilo. Eu nunca presidi uma CPI que tivesse resultado em que eu não convocasse alguém para depor quando eu já tinha tudo na mão.",0
"Não, o da bomba lá.",0
"Ah, que maravilha! Então, pronto! Então, não tem.",0
"Um momento, um momento.",0
Um momento.,0
"Presidente, vou ser breve, bem porque concordo com a linha geral que foi colocada, concordo hoje até com o Senador Magno Malta.",1
Vixe! É mesmo?,0
"E acho que realmente... Eu também fui... Nós temos algo em comum: eu fui Relator de Comissão Parlamentar de Inquérito, da CPI do Narcotráfico em Minas Gerais. Então, essa experiência tem que ser trazida também. E é claro que a gente só descobre as coisas em relação àqueles que estão por dentro daquele assunto. Muitas vezes na CPI do Narcotráfico, eles nos acusavam de estar escutando bandidos. Mas é óbvio: o tráfico era feito por bandido, eram eles os que sabiam as coisas. E, na questão relativa aos culpados, nós temos que escutar esses que estão sendo indiciados, esses que estão realmente sendo investigados. E não há como investigá-los se nós não tivermos acesso aos telefones e, em alguns casos, à questão dos bancos. Então, solicitar esses dados é fundamental. Se a gente não aprova aqui esses documentos, nós não vamos investigar. Muitas vezes quem fala não é o depoente: é o telefone dele, de que foi quebrado o sigilo, que fala pela gente.       10:00   R   Nós estamos vendo agora o George Washington, porque saiu aí, pela Polícia Civil, o que estava no telefone do George Washington. E tinha muita coisa que aqui ele mentiu, inclusive ele disse que a bomba, por exemplo, não era para o caminhão, que ele estava falando que ia colocar bombas nas redes elétricas. Quem leu o relatório dele, que é público agora, que foi enviado pela CPMI, quem lê o relatório vê que ele mentiu claramente. Ele falava claro que estava lá para ele colocar a bomba no caminhão, pra estourar a bomba no caminhão. Então, vejam bem, é óbvio que, se isso estivesse conosco já, essa quebra, nós teríamos tido outro tipo de... Por isso, eu acho que nós precisamos de olhar as quebras de sigilo não apenas dos que já falaram, mas daqueles que são investigados, que nós concordamos que têm que ser vistas na investigação. Concordo que não é para fazer aqui perseguição, então não é para pegar familiares de todos, etc. Não. Mas tem familiares que também estão envolvidos, que precisam ser ouvidos; não podem também deixar de ser ouvidos só porque são familiares. Então, no caso, por exemplo, do Mauro Cid, eu não propus quebra de sigilo da esposa, nem estou pretendendo pedir isso, mas ouvi-la é necessário não porque ela é esposa do Mauro Cid - acho que ela vai ter que ser ouvida aqui, eu tenho um requerimento; não vai ser votado hoje pelo acordo que nós estamos fazendo -, mas, é óbvio, ela fez uma série de ligações no telefone dela, o que também já é público, em que ela própria falava pelo golpe. Então é outra coisa, é porque ela militou por aquilo e não por ser esposa. Então nós temos que separar realmente o joio do trigo. Por fim, eu queria apenas polemizar com o Senador Izalci, porque eu também acho que tudo isso poderia ser evitado. Por exemplo, se o ex-Presidente Bolsonaro tivesse passado a faixa pro Presidente Lula, não tivesse feito reunião com embaixadores, nós teríamos resolvido. Então é claro que essa linha de investigação, por isso que eu quis dizer isso, é uma linha de investigação que não é apenas o 8 de janeiro; por isso nós estamos escutando o Mauro Cid, ela é um processo. Houve uma tentativa de golpe no Brasil. Então eu proporia, Presidente, pra terminar mesmo, que nós fizéssemos as quebras de sigilo. Não tem problema que a gente veja individualmente, mas que não fique restrito a que sejam apenas os que foram ouvidos; aqueles que são investigados, que estão denunciados, que nós acharmos que é justo, também têm que ser apreciados anteriormente a serem ouvidos.",1
"Bom dia! Bom dia a todas as colegas, a todos os colegas, e à imprensa, que nos acompanha. Presidente, eu quero corroborar aqui com as palavras de V. Exa. Aqui nós temos um instrumento de investigação dentro do campo político, Deputado Carlos Sampaio. E aqui a condução dos acordos políticos facilita a investigação, como muito bem disse o nosso Senador Magno Malta. Agora, é claro, o objetivo de alguns aqui é no sentido de não dar os instrumentos necessários para que a gente consiga fazer a investigação de maneira límpida. O que nós queremos aqui são as informações para que a gente possa fazer a elaboração de um relatório que colabore com o esclarecimento dos fatos. Quando você quebra o sigilo de alguém que tem indício de envolvimento grave, você consegue ter, a partir disso, provas objetivas e não subjetivas, para que possa ser feita a investigação e a punição, caso assim a Justiça entenda por correto, já que aqui nós temos a elaboração apenas de um inquérito. A Senadora Eliziane Gama, a nossa Relatora, teve um cuidado muito especial em relação aos pedidos aqui apresentados. E é bom deixar claro que não há qualquer tipo de perseguição no sentido das quebras de sigilos dos envolvidos que estão sendo requeridas.       10:08   R   Presidente, só peço um pouquinho de silêncio porque é importante essa... (Soa a campainha.)",1
"Sr. Presidente, bom dia. É Pastor Henrique Vieira.",1
"Tudo bem, tranquilo. Senadora Eliziane... Aliás, queria pedir ao Sr. Presidente só para recompor o tempo. Nem consegui começar por conta do barulho. Obrigado.       10:12   R   Bem, a minha questão de ordem é baseada no art. 151 do Regimento Comum do Congresso e no art. 148 do Senado e tem pertinência com o que está sendo debatido aqui até agora. Veja bem, Senadora Eliziane: no dia 22 de junho, nós entramos aqui com uma questão de ordem relacionada ao ex-Diretor da PRF, Silvinei Vasques, porque nós entendemos que ele mentiu a esta CPMI sobre abordagens, operações e fiscalizações no dia 30 de outubro, dia do segundo turno. Naquele momento, a Senadora acatou o nosso pedido de notícia-crime, lembrando que a configuração ou a caracterização da mentira tinha como base a resposta do Ministério da Justiça a um requerimento de informação feito pela Deputada Sâmia Bomfim, no ano passado, ou seja, uma diferença entre o que o Silvinei falou e o que o Ministério da Justiça nos informou. Mas atenção: naquele dia 22 de junho, também foi acatado para nós enviarmos um.... (Intervenção fora do microfone.)",1
"Vou pedir silêncio, Sr. Presidente, senão não consigo desenvolver o raciocínio. (Soa a campainha.)",1
"Então, veja: nós enviamos, como CPMI, um ofício ao Silvinei e ele nos enviou - atenção a isto - as fontes para os dados que ele apresentou. E daí, dialogando com o Delegado Ramagem, nossa equipe estudou o documento oficial que Silvinei enviou a esta CPMI. E, com muita tranquilidade, fruto de estudo detalhado, eu quero afirmar que ele mentiu a esta CPMI. E agora a base não é só o documento do Ministério da Justiça, que já era importante; é o documento que ele mesmo enviou a esta CPMI: o número de fiscalizações na Região Nordeste foi o dobro da Região Sudeste, no dia 30 de outubro. E eu estou me baseando no documento que ele mesmo enviou a esta CPMI. Portanto, para concluir, o que eu queria solicitar - vou ler formalmente e entregar à Senadora: sendo assim, gostaríamos de apresentar à eminente Relatora uma minuta de notícia-crime, que poderá auxiliar os trabalhos desta Secretaria...",1
"É o tempo, Sr. Presidente.",0
Calma aí. Ser interrompido não ajuda a minha fala.,1
"Mas é o tempo, Sr. Presidente. O tempo, Sr. Presidente. São três minutos inteiriços mais o aditivo de tempo...",0
"São 30 segundos, Presidente.",1
"Eu fui atrapalhado, Sr. Presidente.",1
Eu fui interrompido o tempo inteiro!,1
O senhor está sendo injusto!,1
"Não, Presidente. Não, não, não.",1
Vou concluir.,1
"Eu vou entregar à Senadora a prova de que Silvinei Vasques mentiu, com base no documento que ele mesmo enviou. Além disso, solicito a aprovação do Requerimento 1.045, que é a quebra de sigilo telemático, telefônico e bancário. Silvinei Vasques mentiu a esta CPMI e ele precisa ser responsabilizado por isso, de acordo com a legislação do processo penal. Ele é peixe grande e não pode passar pano em cima dele.       10:16   R",1
Quem mentiu foi o Ministro da Justiça.,0
"Eu também subscrevo, Presidente.",1
"Sr. Presidente, Deputado Duarte também. Subscrevo o pedido.",1
"Eu também subscrevo, Presidente. Deputada Erika Hilton.",1
Deputado Aliel Machado também subscreve.,1
Deputada Duda Salabert também subscreve.,1
"Muito obrigado, Sr. Presidente, eu queria só pedir à assessoria, se puder, aqui, para eu olhar para o Presidente, por favor. Por favor. Sr. Presidente, nesse acordo que está sendo construído, eu queria deixar claro para o senhor que, mais uma vez, as imagens tão esperadas pela população brasileira, para entender o que aconteceu no dia 8, por que é que a Força de Segurança Nacional... Onde é que estava a Força de Segurança Nacional, que foi chamada pelo Ministro Flávio Dino? As imagens do Ministério da Justiça, novamente, não estão na pauta. Eu achava que estivessem. Eu queria fazer esse pedido de inclusão, na pauta, dessas imagens do Ministério da Justiça e também fazer uma solicitação ao senhor, para que não retire o fotógrafo da Reuters, porque aquela encenação que aconteceu ficou escandalosa perante a população brasileira, nas imagens vazadas da CNN. Uma encenação: ""Espera aí. Quebra desse jeito. Não, agora quebra assim, com esse ângulo"". É brincadeira! (Soa a campainha.)",0
"Sr. Presidente, aproveitando este tempo, está acontecendo uma onda de fake news, de ilações, com relação ao meu nome, e isso é inadmissível! Eu já sabia, quando cheguei aqui no Congresso, que tem certos partidos e alguns Parlamentares que jogam baixo, cujo objetivo é assassinar reputação. Agora, quem conhece a nossa história sabe do trabalho que a gente tem feito e a rede social... Em primeiro lugar, o número que saiu, em documentos que estão sendo divulgados em relação ao meu nome, com um suposto contato com o terrorista George Washington, não é o meu número. (Soa a campainha.)",0
O 41 também?,0
É só para concluir o encaminhamento e acrescentar o Requerimento 1.045...,1
... do Sr. Silvinei Vasques.,1
Presidente...,0
Sr. Presidente...,0
"Sr. Presidente, se pudesse haver um tempo para que nós pudéssemos apenas analisar do que se trata...",0
Eu não sei quais são.,0
"Eu não estava presente, mas, se V. Exa. está dizendo que houve um acordo entre a oposição e a base, eu retiro aqui a minha fala. Confio em V. Exa.",0
"Sr. Presidente, em relação a esse último pedido, embora seja uma quebra relativa, nós temos alguns pedidos que são pedidos talvez um pouco atípicos, com que nós deveríamos ter a cautela de pelo menos saber qual a relação desses investigados ou desses pedidos com o objeto da CPI, com o que nós estamos investigando aqui. Por exemplo, estão pedindo transferência de sigilo de todos os ajudantes de ordens da Presidência, e-mails, mensagens. Sr. Presidente, ali tem temas, assuntos que não dizem respeito a esta CPI. Agora, se há motivação, se há justa causa para se fazer a transferência desses dados para a CPI, mediante motivação, fundamentação, o.k. Mas aqui não há nenhum elemento que demonstre isso. É o caso aqui do Daniel Lopes, Luis Marcos Reis, Adriano Alves Teperino e outros mais. Com relação à quebra de sigilo daqueles que já foram ouvidos aqui, eu acho que nós temos que votar um a um, não há nenhum problema para a gente votar. Eu acho que quebra de sigilo não se vota em varejo. Agora, com relação a quem atuava na Presidência da República, solicitar transferência genérica de dados para esta CPI me parece colocar em risco, inclusive, elementos de segurança nacional, o que não é o caso. Eu questionei aqui agora há pouco a assessoria, respeitosamente: qual é o elemento indutor para esses requerimentos? O que há de elemento a justificar isso aqui? E um dos argumentos que me foi passado aqui, Sr. Presidente, com todo respeito: nós não estamos aqui para investigar o uso de cartão corporativo do Presidente da República. Esse não é o papel dessa CPI. Com todo respeito. Nós não vamos fazer pesca... Eu acho que isso aqui não é o papel da CPI, Presidente. Se alguém faz por aí, não é o papel da CPI. Se quer investigar cartão corporativo... (Soa a campainha.)",0
"... de Presidente Bolsonaro, de Presidente Lula, de Dilma e de outros, abra uma CPI específica e vá investigar. Agora, não é objeto desta CPI. Eu estou alertando, porque esse é um conteúdo que está no âmbito desses requerimentos.       10:28   R",0
"Sr. Presidente... Sr. Presidente, Deputado André Fernandes.",0
Presidente... Presidente... E o 1.045?,1
"Presidente, e a pauta?",0
Vamos para a oitiva.,1
"Mas esse não era o acordo, Sr. Presidente.",0
"Sr. Presidente, apenas para um pequeno comentário. Nas outras oitivas, V. Exa. determinou que as testemunhas não fossem aqui coagidas nem xingadas, nem maltratadas. Eu gostaria de saber se isso prevalece para hoje também, para que não seja chamado de bandido, de ladrão, disso ou daquilo, porque são patentes do Exército Nacional. As outras pessoas que já passaram por aqui foram humilhadas aqui nesta Comissão. Então, eu gostaria de pedir ao senhor que V. Exa. garantisse a integridade moral dessas pessoas que aqui estivessem.",0
"Pela ordem, Sr. Presidente.",0
"Sr. Presidente, são inúmeros os ataques e as acusações em relação ao Mauro Cid. Não é possível que ele esteja na condição de testemunha. Ele é investigado desta CPMI. Tratá-lo como testemunha é não tratar como ele tem sido tratado pelo fato na própria CPMI. Então, ele tem o direito de permanecer calado, como qualquer outro investigado tem o direito de permanecer calado. A gente tem que dar o respeito e a ordem a ele, conforme ele tem sido tratado em todos os atos das oitivas anteriores. Então, assim, tratá-lo como testemunha vai prejudicar o próprio Mauro Cid ter o direito dele preservado.",0
"Eu concordo. Eu concordo, Sr. Presidente.",0
"Questão de ordem, Sr. Presidente!",0
A Relatora está fazendo perguntas que não têm nada a ver...,0
É aquele de chapéu lá? (Intervenções fora do microfone.),0
É apagar se foi fotografado aí um documento dele.,0
"Falaram, Presidente.",1
"Sr. Presidente, a Relatora quer saber, Sr. Presidente... (Tumulto no recinto.) (Soa a campainha.)",0
"Sr. Presidente, visitante...",0
Sr. Presidente...,0
"Sr. Presidente, após aprovado?",0
"Presidente, após aprovado? Aprovam e retiram a aprovação de ofício?",0
"Eu acho muito válido para contribuir com a investigação da CPMI, inclusive.",0
"Sr. Presidente, se o Sr. Mauro Cid falasse hoje, acabavam os trabalhos da CPI. Não precisava investigar mais nada. Bastava que ele quisesse contribuir com a investigação, porque ele viu tudo, ele ouviu tudo e ele sabe de tudo. É incrível como, onde havia um malfeito do Bolsonaro, lá estava Mauro Cid - onde havia um malfeito do Bolsonaro, lá estava o Mauro Cid. É por isso que são tantos inquéritos que o senhor hoje responde perante o Supremo Tribunal Federal. Rachadinha, aí diz que: ""Não, a atribuição era cuidar da vida financeira do Presidente"". Joia, aí ele diz: ""Não, era a minha tarefa receber presentes"". Ué, joia milionária é um simples presente?",1
"Sr. Presidente, acabei de ser atrapalhado, incomodado e importunado. Eu pediria que o senhor acrescentasse o tempo, para ver se isso educa aos mal-educados.",1
"Sr. Presidente, aí o outro vem com brincadeiras: ""Pedir mais minuto, Sr. Presidente?"".",1
"Eu não quero tempo de V. Exa., eu quero respeito e educação...",1
"Tempo, quem conduz, é o Presidente.",1
"Sr. Presidente, é que na hora em que fala rachadinha e joia, começam as interrupções...",1
"Quando se fala de um malfeito de Bolsonaro, lá está Mauro Cid; rachadinha, joia, vazamento de inquérito sigiloso, lá está o Mauro Cid; milícias digitais, lá está o Mauro Cid; fake news, lá está o Mauro Cid; atos antidemocráticos, lá está o Mauro Cid. E ele tentou dizer aqui o que era o papel do ajudante de ordem.       12:00   R   Duas passagens na fala inicial dele merecem a atenção de todos nós, Sras. e Srs. Congressistas. Em uma ele diz: ""Não estava na minha esfera de atribuições analisar as propostas, projetos ou demandas trazidas"". Ele recebia as propostas, as demandas e não apreciava. E o que ele fazia com essas demandas que ele recebia? É a segunda parte da fala inicial dele que merece registro: ele encaminhava para os setores competentes. Ele recebe uma minuta golpista, segundo ele, na sua defesa, ele não avalia a minuta golpista. O que ele faz? Encaminha para os setores competentes. Encaminha sabe para quem, Sras. e Srs. Congressistas? Para o ex-Presidente, agora inelegível, Jair Bolsonaro. Esta era a tarefa: pegar as informações e repassar para o Presidente, segundo ele, sem sequer apreciar. ""Não questionávamos o que era tratado nas reuniões, nas ligações, nas mensagens."" Infelizmente o integrante do Exército com uma carreira brilhante quer fazer crer que era apenas um carregador de pasta, quer fazer crer que era apenas um carregador de pasta. E o ajudante de ordens se transformou no cumpridor de ordens. Ordens no sentido de executar a rachadinha, de recuperar a joia apreendida, de vazar o inquérito sigiloso. O ajudante de ordem que vira um cumpridor de ordem, é por isso que o senhor está sentado aqui, Mauro Cid. Senão, vejamos, no seu celular apreendido pela Polícia Federal tem a minuta golpista, uma minuta de GLO de decretação de estado de defesa e de estado de sítio para impedir a posse do Presidente Lula, legitimamente eleito. Quando o senhor recebe a minuta golpista, o senhor deveria ter estancado naquele momento qualquer tipo de acesso que aquelas pessoas tinham ao senhor, mas, pelo contrário, tanto o senhor não estancou que diversos outros golpistas se sentiram no direito e com liberdade e com proximidade para tratar de ainda mais desse assunto com o senhor. Quem tratou desse assunto com o senhor? Coronel Lawand, que havia sido seu professor. Quem tratou desse assunto com o senhor, tentativa de golpe? Sargento Luis Marcos dos Reis. O Deputado Abilio, numa tentativa infantil de constranger um Parlamentar que usa o seu direito de fala, que aguarda durante muito tempo, fica gravando o Deputado. Está me achando bonito, Deputado? É para levar para casa para poder ficar me admirando depois? Esse papel de brincar aqui não cabe no Congresso Nacional, não cabe no Parlamento sério. O Deputado Abilio confunde brincadeira com momento de trabalho. O senhor pode ter tempo a perder, eu não tenho, não. O senhor pode ter tempo a perder, eu não tenho, não. É um desrespeito ficar gravando aqui enquanto a gente fala, Sr. Presidente. Eu vou lhe mandar uma foto pro senhor botar no seu quarto. (Intervenções fora do microfone.)",1
Porque é um pedido do senhor.,0
"Todo esse objetivo é para fazer, Mauro Cid, com que o senhor não reflita sobre o que, de fato, está acontecendo. O que, de fato, está acontecendo é que o senhor já foi abandonado - o senhor está sozinho agora. O que, de fato, está acontecendo é o que disse o ex-Presidente Bolsonaro no dia 18 de maio de 2023: ""Cada um siga a sua vida agora"". O senhor segue assumindo todas as culpas e as responsabilidades para não se defender, escondendo, quando o senhor poderia estar contribuindo. O senhor quer fazer crer que é um carregador de pastas, mas não. O senhor organizava as lives, inclusive aquelas que divulgavam fake news; o senhor também participava passando os eslaides na reunião com os embaixadores, que tornou inelegível o Sr. Jair Bolsonaro; o seu e-mail foi usado por uma empresa para receber doação eleitoral do ex-Presidente Bolsonaro - essa ligação é gigantesca -; e tinha estudos para dar suporte jurídico à quebra democrática. Eu me lembro de um voto do Ministro Gilmar Mendes, em que ele diz que, para a falta de votos, não tem remédio jurídico que dê jeito. Para tentar interromper o Presidente Lula de tomar posse, tentaram de todas as formas um golpe de Estado: tentaram, colocando bomba no aeroporto; tentaram com minuta golpista de GLO; tentaram, invadindo as sedes dos três Poderes, num grave atentado à democracia. E disso tudo o senhor participou diretamente. Em todos esses momentos, o senhor participou diretamente. Hoje, o senhor, vestido com essa farda, infelizmente, envergonha o Exército Brasileiro, após ter jogado sua carreira no lixo. O senhor, tal como seu pai, seria general. O senhor foi um aluno brilhante por onde o senhor passou. O senhor deveria ter ido para os Estados Unidos e não ter sido ajudante de ordens para cumprir ordens ilegais, manifestamente ilegais, que lhe trouxeram, como herança, hoje, oito inquéritos no Supremo Tribunal Federal, mas aumentando, com mais investigações vindo. De fiel assessor, o senhor vira agora bode expiatório - de fiel assessor, o senhor vira agora bode expiatório -, onde só o senhor está respondendo por atos de que o senhor sabe que não era o autor intelectual. Ajudante de ordens. O que nós queríamos era que o senhor dissesse quem dava as ordens para o senhor, que não era o GSI. Quem dizia o que fazer com a minuta golpista? Quem dizia o que fazer com as tentativas de intervenção? É por isso que o senhor falava: ""Não, o Presidente não pode dar uma ordem se ele não confia no Alto Comando do Exército"". Aqui, é a quebra de sigilo telefônico do senhor, e o senhor não pode dizer que o senhor não disse. Quando perguntavam ""Ah! Não vai ter golpe, não?"", o senhor dizia: ""Infelizmente, não"". Quando perguntavam ""Tem que fazer alguma coisa?"", o senhor falava: ""Muita coisa acontecendo. Passo a passo"". O que era muita coisa acontecendo? Era a minuta golpista. O que era muita coisa acontecendo? Era uma bomba no aeroporto. O que foi que aconteceu? A tentativa golpe de Estado no dia 8 de janeiro.       12:08   R   A Constituição garante, Sr. Mauro Cid, o direito ao silêncio com um objetivo: para o senhor não se incriminar. Mas o que eu queria aqui não era que o senhor se incriminasse; eu queria era que o senhor se defendesse. E, para o senhor se defender basta, o senhor dizer o que o senhor fazia com os pedidos de GLO que o senhor recebia; o que o senhor fazia com os pedidos de intervenção que o senhor recebia diariamente. Basta o senhor dizer isso. O senhor não vai estar se incriminando, vai estar se defendendo. Por que o que pode acontecer? A gente intensificar a investigação, e amanhã estar sentada aí a senhora sua esposa, não por ser sua esposa, mas porque na quebra do sigilo dela mostra que ela também participou dos atos golpistas. E não é o que nós queremos.",1
Tem total pertinência. (Soa a campainha.),1
"Presidente, pela ordem.",1
"Eu quero que deixe bem claro que isso não é uma ameaça, é uma estratégia de investigação. As falas reproduzidas na investigação pública sobre a senhora sua esposa são gravíssimas. A conversa dela com a Ticiana Villas Bôas é algo que esta CPI pode e deve, sim, avaliar se vai querer ouvi-las ou não. Se o senhor ajudasse a investigação nada disso era necessário; se o senhor se defendesse, nada disso era necessário. Mas, repito, de fiel assessor para virar bode expiatório com a trajetória que o senhor tem?! Não é o desejo que nós queremos. O que nós queremos, de fato, é que, agora invertendo, tal como disse o ex-Presidente ao senhor, que cada um siga sua vida. Siga sua vida, se defenda! Diga o que o senhor fez com todas as tentativas de GLO... (Soa a campainha.)",1
"... que o senhor recebeu! Diga o que de fato o senhor fez com todos esses pedidos de intervenção federal que o senhor recebeu! Diga, de fato, qual era a transação financeira feita nos porões do Palácio do Planalto por meio de rachadinha! Diga justamente quem lhe dava ordem para tentar liberar a todo custo as joias; a quem o senhor vazou em informações do inquérito! Se defenda, Sr. Mauro Cid! Ajude a esclarecer todos que participaram da tentativa de golpe no nosso país, do atentado à democracia! Faça valer essa farda que o senhor veste do Exército Brasileiro! É o pedido e o apelo que eu faço para que nós possamos avançar ainda mais na investigação.",1
É surreal!,1
Mas por que o Abilio? Por que só o Abilio?,0
A mim? (Risos.),0
Em toda sessão...,1
"Quem mais deu subsídio a V. Exa., Senadora? (Soa a campainha.)",0
"Sr. Presidente, para cooperar...",0
"Sr. Presidente, pela ordem. Pela ordem...",0
"Sr. Presidente, questão de ordem. Tem gente cometendo crime aqui na Comissão. Tem gente cometendo crime aqui na Comissão, Sr. Presidente. Eu posso levantar uma questão de ordem ou V. Exa. não vai me deixar falar?",0
"Então, obrigado, Sr. Presidente.",0
"Sr. Presidente, a Lei - e eu estou falando de lei - 13.869, de 5 de setembro de 2019, que foi a que veio justamente para ser a nova Lei de Abuso de Autoridade, é muito clara lá no seu art. 15, parágrafo único, inciso I:       12:16   R   Art. 15. Constranger a depor, sob ameaça de prisão, pessoa que, em razão de função, ministério, ofício ou profissão, deva guardar segredo ou resguardar sigilo: Parágrafo único. Incorre na mesma pena quem prossegue com o interrogatório: I - de pessoa que tenha decidido exercer o direito ao silêncio; Já aconteceu aqui de três pessoas que me antecederam estarem falando, o depoente estar usando o direito dele constitucional de permanecer em silêncio e estar acontecendo ameaça em cima de ameaça. Eles estão cometendo crime de abuso de autoridade! Começou, inclusive, pela própria Relatora! Então, o que eu estou pedindo aqui, Sr. Presidente, é que tenhamos diretrizes para que, daqui a pouco, o próximo que venha a inquirir não fique dizendo: ""Se você não falar, vamos chamar a sua esposa, a sua prima, a sua tia..."" O que é que vai virar esta Comissão, Sr. Presidente? Obrigado, Sr. Presidente. (Palmas.)",0
Mas é porque a Senadora não veio.,1
